category,grade,url,title,score,image2,image1,image3,image4,buy1,buy2,buy3,buy4
Biotin,A+,https://labdoor.com/review/solgar-super-high-potency-biotin,Solgar Super High Potency Biotin,99.9,https://cdn.labdoor.io/w_400/product/images/9a75d496-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d471-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d4bc-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d4e0-1448-11eb-9dfd-06f7a2c059a3.jpg,https://www.iherb.com/pr/Solgar-Super-High-Potency-Biotin-10-000-mcg-120-Vegetable-Capsules/47450?utm_source=labdoor&utm_medium=affiliate&utm_campaign=1101l207121,https://www.amazon.com/Solgar-Biotin-Vegetable-Capsules-Count/dp/B009P6BI60?ie=UTF8&qid=1467077416&sr=8-53&keywords=biotin&th=1&linkCode=ll1&tag=lab02-20&linkId=1ea5856f1ce98a2c0a4d8786f98d4be2&language=en_US&ref_=as_li_ss_tl,,
Biotin,A+,https://labdoor.com/review/natrol-biotin-maximum-strength,Natrol Biotin Maximum Strength,99.9,https://cdn.labdoor.io/w_400/product/images/9a75d141-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d11e-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d165-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://www.iherb.com/pr/Natrol-Biotin-Maximum-Strength-10-000-mcg-100-Tablets/25842?utm_source=labdoor&utm_medium=affiliate&utm_campaign=1101l207121,https://www.amazon.com/Natrol-Maximum-Strength-Tablets-100-Count/dp/B004H7GB9G?ie=UTF8&qid=1466815299&sr=8-1&keywords=biotin&th=1&linkCode=ll1&tag=lab02-20&linkId=9018ba6db4c08cef2798f22a7afd7c7c&language=en_US&ref_=as_li_ss_tl,,
Biotin,A+,https://labdoor.com/review/natures-bounty-biotin,Nature's Bounty Biotin,99.5,https://cdn.labdoor.io/w_400/product/images/9a75d287-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d262-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d2ac-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FNature-s-Bounty-Biotin-1-000-mcg-100-Coated-Tablets%2F32495,https://www.amazon.ca/Natures-Bounty-Biotin-1000mcg-count/dp/B00BMEHFW4/ref=as_li_ss_tl?ie=UTF8&qid=1477417635&sr=8-1&keywords=Nature%27s%2BBounty%2BBiotin%2B1000mcg&linkCode=sl1&tag=lab02-20&linkId=44dc3cfd7de4fc26c3e80908f2698b99&th=1,,
Biotin,A,https://labdoor.com/review/nutridian-biotin,Nutridian Biotin,95.5,https://cdn.labdoor.io/w_400/product/images/9a75d3ba-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d33d-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d3df-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,
Biotin,A,https://labdoor.com/review/sports-research-biotin,Sports Research Biotin,94,https://cdn.labdoor.io/w_400/product/images/9a75d1ad-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d18a-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a75d1d1-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FSports-Research-Biotin-with-Coconut-Oil-5-000-mcg-120-Veggie-Softgels%2F71109,https://www.amazon.ca/Strength-Enhanced-absorption-Supports-Mini-Veggie/dp/B00IOZWC2M/ref=as_li_ss_tl?ie=UTF8&qid=1477417334&sr=8-1-fkmr1&keywords=Sports%2BResearch%2BBiotin%2B(High%2BPotency)%2B5000mcg&linkCode=sl1&tag=lab02-20&linkId=3beeb6aee9f884b227563f9269101d05&th=1,,
Calcium,A+,https://labdoor.com/review/kirkland-signature-calcium-citrate-magnesium-and-zinc,Kirkland Signature Calcium Citrate Magnesium And Zinc,100,https://cdn.labdoor.io/w_400/product/images/9a71be78-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71be53-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71be9f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71bec5-1448-11eb-9dfd-06f7a2c059a3.jpg,https://www.amazon.com/Signature-Calcium-Citrate-Magnesium-Vitamin/dp/B0F96BNPPV?dib=eyJ2IjoiMSJ9.l_7X--sXLVoiD6FpXP0sJeqO8myLOd9YGS440xUTTEvFBA8foo_qpHMPjiHHOe9PYntoT4WYhHToyxu47DZtYLrBWUGOKNLL2VfFT3Ge0oVDy4fHZaBt6i5MsFxXEBXsQG6zffxdV39E5jmtiiDGBdl-qhTtWAzMpOv3VaREHvv6m9AcAYsr-dB5Cx4p2qmOrsmf2DT2XYhXwge1DjHPpY0aMnm-tB9OT0Fvnq2czN7Vf3qxhExYW6JMnpZjJarKQblST8aM4j2F-1T8aICpiWKvlypw8fRxGQTrqzTWWHs.ZCS47lPkwXcDuW8BnxD884ekAsHUIRZUl-U6vQeUx_o&dib_tag=se&keywords=Kirkland+Signature+Calcium+Citrate+Magnesium+and+Zinc&qid=1753369524&sr=8-1&linkCode=ll1&tag=lab02-20&linkId=d9d5b4fda93ed1baab86afc02bd1654e&language=en_US&ref_=as_li_ss_tl,,,
Calcium,A+,https://labdoor.com/review/vitafusion-calcium-gummies,Vitafusion Calcium Gummies,100,https://cdn.labdoor.io/w_400/product/images/9a71b7b9-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71b790-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71b7e1-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a71b804-1448-11eb-9dfd-06f7a2c059a3.jpg,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FVitaFusion-Calcium-Natural-Fruit-Cream-Flavors-500-mg-100-Gummies%2F71433,https://www.amazon.com/Vitafusion-Calcium-Gummy-Vitamins-Adults/dp/B003DRD3PG?s=hpc&ie=UTF8&qid=1440092023&sr=1-4&keywords=Vitafusion+Calcium+Gummies&linkCode=ll1&tag=lab02-20&linkId=9f27c531b6b8b374a8e25a517ae1838b&language=en_US&ref_=as_li_ss_tl,,
Calcium,A+,https://labdoor.com/review/kirkland-signature-calcium-d3,Kirkland Signature Calcium + D3,97.5,https://cdn.labdoor.io/w_400/product/images/9a720720-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7206fc-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a720753-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a720778-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,
Calcium,A,https://labdoor.com/review/solaray-calcium-magnesium-zinc,Solaray Calcium Magnesium Zinc,96.5,https://cdn.labdoor.io/w_400/product/images/9a720ad6-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a720ab1-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a720afa-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a720b1f-1448-11eb-9dfd-06f7a2c059a3.jpg,https://iherb.prf.hn/click/camref:1101liyXD/destination:https%3A%2F%2Fwww.iherb.com%2Fpr%2FSolaray-Calcium-Magnesium-Zinc-250-VegCaps%2F30063,https://www.amazon.com/Solaray-Calcium-Magnesium-Zinc-capsules/dp/B00020I0JG?s=hpc&ie=UTF8&qid=1440019278&sr=1-1&keywords=solaray%2Bcalcium&th=1&linkCode=ll1&tag=lab02-20&linkId=31f0a02f602af84446934f6de2b44bdb&language=en_US&ref_=as_li_ss_tl,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-15mg-stress-relief-drops,Garden Of Life Dr. Formulated CBD+ 15mg Stress Relief Drops,100,https://cdn.labdoor.io/w_400/product/images/164e7cc5-9c42-4d52-8fcc-ad2798dc483e.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf8fa-1448-11eb-9dfd-06f7a2c059a3.jpg,,,http://www.tkqlhce.com/click-7731907-13454234?url=https%3A%2F%2Fwww.vitaminshoppe.com%2Fp%2Fcbd-stress-relief-15mg-15-mg-1-milliliter-drop-s%2Fgu-8015&cjsku=GU-8015,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-15mg-sleep-drops,Garden Of Life Dr. Formulated CBD+ 15mg Sleep Drops,100,https://cdn.labdoor.io/w_400/product/images/a112e9ee-fcc9-4421-bf12-8ad1d70029eb.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf91e-1448-11eb-9dfd-06f7a2c059a3.jpg,,,http://www.anrdoezrs.net/click-7731907-13454234?url=https%3A%2F%2Fwww.vitaminshoppe.com%2Fp%2Fcbd-sleep-15mg-15-mg-1-oz-drop-s%2Fgu-8025&cjsku=GU-8025,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-15mg-inflammatory-response-drops,Garden Of Life Dr. Formulated CBD+ 15mg Inflammatory Response Drops,100,https://cdn.labdoor.io/w_400/product/images/c51cc1e7-e371-4969-8581-31918906454d.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf846-1448-11eb-9dfd-06f7a2c059a3.jpg,,,http://www.jdoqocy.com/click-7731907-13454234?url=https%3A%2F%2Fwww.vitaminshoppe.com%2Fp%2Fcbd-inflammatory-response-15mg-15-mg-1-milliliter-drop-s%2Fgu-8014&cjsku=GU-8014,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-10mg-gummies-sleep-blueberry,Garden Of Life Dr. Formulated CBD+ 10mg Gummies Sleep Blueberry,100,,https://cdn.labdoor.io/w_400/product/images/9a7cf56a-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-10mg-gummies-inflammatory-response-berry-spice,Garden Of Life Dr. Formulated CBD+ 10mg Gummies Inflammatory Response Berry Spice,100,,https://cdn.labdoor.io/w_400/product/images/9a7cf590-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-50mg-drops-peppermint,Garden Of Life Dr. Formulated CBD 50mg Drops Peppermint,100,https://cdn.labdoor.io/w_400/product/images/d49b39f9-e2cb-4f38-99ba-b6a472038d00.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf7fd-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-50mg-drops-chocolate-mint,Garden Of Life Dr. Formulated CBD 50mg Drops Chocolate Mint,100,https://cdn.labdoor.io/w_400/product/images/f852ac84-c467-4273-8659-cd1be289b778.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf822-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-30mg-drops-peppermint,Garden Of Life Dr. Formulated CBD 30mg Drops Peppermint,100,https://cdn.labdoor.io/w_400/product/images/315b82e0-89a5-40e0-b160-02e365497108.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf7d9-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-30mg-drops-chocolate-mint,Garden Of Life Dr. Formulated CBD 30mg Drops Chocolate Mint,100,https://cdn.labdoor.io/w_400/product/images/db70211b-3f1e-455c-afc1-1725c14d65ce.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf744-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-20mg-gummies-tart-cherry,Garden Of Life Dr. Formulated CBD 20mg Gummies Tart Cherry,100,,https://cdn.labdoor.io/w_400/product/images/9a7cf5d9-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-20mg-drops-dogs-peanut-butter,Garden Of Life Dr. Formulated CBD 20mg Drops Dogs Peanut Butter,100,https://cdn.labdoor.io/w_400/product/images/6a510871-1537-43db-9441-ba34bcd638b6.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf6d6-1448-11eb-9dfd-06f7a2c059a3.jpg,,,,,,
CBD Oil,A+,https://labdoor.com/review/garden-of-life-dr-formulated-cbd-10mg-drops-peppermint,Garden Of Life Dr. Formulated CBD 10mg Drops Peppermint,100,https://cdn.labdoor.io/w_400/product/images/30992867-168d-425a-b91b-962f1ff75f21.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cf76a-1448-11eb-9dfd-06f7a2c059a3.jpg,,,http://www.tkqlhce.com/click-7731907-13454234?url=https%3A%2F%2Fwww.vitaminshoppe.com%2Fp%2Fcbd-drops-10mg-10-mg-peppermint-1-milliliter-drop-s%2Fgu-8018&cjsku=GU-8018,,,
CBD Oil,A,https://labdoor.com/review/nuleaf-naturals-cbd-240mg,NuLeaf Naturals CBD 240mg,95.4,https://cdn.labdoor.io/w_400/product/images/9a7cd4da-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd4b5-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd4fe-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://nuleafnaturals.com/product/240mg-full-spectrum-cbd-oil-high-grade-hemp-extract/?rfsn=2399042.6b561c,,,
CBD Oil,C,https://labdoor.com/review/diamond-cbd-premium-cbd-infused-liquid,Diamond CBD Premium CBD Infused Liquid,76.9,https://cdn.labdoor.io/w_400/product/images/9a7cd546-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7cd524-1448-11eb-9dfd-06f7a2c059a3.jpg,,,http://tracking.diamondcbd.com/aff_c?offer_id=2&aff_id=5027&url=https%3A%2F%2Fwww.diamondcbd.com%2Fproducts%2Funflavored-diamond-cbd-oil-250mg,,,
CoQ10,A+,https://labdoor.com/review/kirkland-signature-coq10,Kirkland Signature CoQ10,100,https://cdn.labdoor.io/w_400/product/images/9a752303-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a7522de-1448-11eb-9dfd-06f7a2c059a3.jpg,https://cdn.labdoor.io/w_400/product/images/9a752326-1448-11eb-9dfd-06f7a2c059a3.jpg,,https://www.amazon.com/Kirkland-Signature-COQ10-Softgels-EconomyPack/dp/B01FYY3M38?dib=eyJ2IjoiMSJ9.wB9GD1PC96sxzzuaGQhUYdxQ-rpMlAvNU0fg3Si0fWnj9IuZkLBViyB4uvDVO_yTO7IcGNlV35xe2RAKsHU_Lr7jiB3uoJdIm7La7RCNK7HO1GivuzqMduzOPTSSBjpiosF9s3Ve3MjmwjZO8aULAmtEAA4ctzCv2xqHtSB4Q-8FkBHW-gh5KlqPcakm1bcwOm01xtNF1cp3ojJZox69rZg6nzUM3ijbWAJ3CaoXP7TI-P1V_ckZsibXV9mQLU9XOFFI2ubEiRXrAcd2w0r5HJ8wimn2SGbIiAcuhQBopMs.yfaHbhT0j4T2VT7lnvyLl7Z0Ft57xAsbwJ4yghBKYSQ&dib_tag=se&keywords=Kirkland%2BSignature%2BCoQ10&qid=1753369582&sr=8-1&th=1&linkCode=ll1&tag=lab02-20&linkId=6cd12890424fafa7a0f84fc1ca27d6e5&language=en_US&ref_=as_li_ss_tl,,,
